bitch,209,8086,10,8305,0.025276842,0.973399133,0.001324025,0.998675975
i,353,6190,1076,7619,0.046444503,0.812254002,0.141301496,0.858698505
bitches,59,3051,0,3110,0.019274012,0.980404754,0.000321234,0.999678766
hoes,55,2321,12,2388,0.023421163,0.971141782,0.005437056,0.994562945
pussy,49,2079,7,2135,0.023386342,0.972871843,0.003741815,0.996258185
hoe,43,1864,35,1942,0.022622108,0.958868895,0.018508997,0.981491003
i'm,65,1370,185,1620,0.040665434,0.844731978,0.114602588,0.885397412
ass,138,1433,3,1574,0.088142042,0.909321497,0.002536462,0.997463539
fuck,121,1302,0,1423,0.085553997,0.913744741,0.000701262,0.999298738
u,103,1083,115,1301,0.079754601,0.831288344,0.088957055,0.911042945
shit,60,1216,5,1281,0.047507788,0.947819315,0.004672897,0.995327103
nigga,138,1078,0,1216,0.114027892,0.885151764,0.000820345,0.999179656
not,63,896,217,1176,0.054283291,0.760814249,0.18490246,0.81509754
trash,112,352,688,1152,0.097835498,0.305627706,0.596536797,0.403463204
lol,49,902,144,1095,0.045537341,0.822404372,0.132058288,0.867941713
ain't,20,854,32,906,0.02310231,0.940594059,0.03630363,0.963696369
niggas,76,713,0,789,0.097222222,0.901515152,0.001262626,0.998737374
it's,32,491,169,692,0.047482014,0.707913669,0.244604317,0.755395683
fucking,95,535,0,630,0.151658768,0.846761453,0.001579779,0.998420221
yo,28,569,14,611,0.04723127,0.928338762,0.024429967,0.975570032
can't,23,476,67,566,0.042179262,0.83831283,0.119507909,0.880492092
you're,55,407,62,524,0.10626186,0.774193548,0.119544592,0.880455408
that's,17,395,64,476,0.037578288,0.826722338,0.135699374,0.864300626
ya,15,445,16,476,0.033402923,0.931106472,0.035490605,0.964509395
hate,58,377,35,470,0.124735729,0.799154334,0.076109937,0.923890063
im,28,401,36,465,0.061965812,0.858974359,0.079059829,0.920940171
faggot,187,236,0,423,0.441314554,0.556338028,0.002347418,0.997652582
really,25,329,69,423,0.061032864,0.774647887,0.164319249,0.835680751
y'all,26,364,22,412,0.065060241,0.879518072,0.055421687,0.944578313
being,16,318,53,387,0.043589744,0.817948718,0.138461538,0.861538462
lmao,18,323,36,377,0.05,0.852631579,0.097368421,0.902631579
wit,16,319,11,346,0.048710602,0.916905444,0.034383954,0.965616046
dick,18,324,1,343,0.054913295,0.939306358,0.005780347,0.994219653
wanna,12,302,27,341,0.037790698,0.880813953,0.081395349,0.918604651
bout,8,308,18,334,0.026706231,0.916913947,0.056379822,0.943620178
because,26,238,61,325,0.082317073,0.728658537,0.18902439,0.81097561
damn,16,288,20,324,0.051987768,0.883792049,0.064220183,0.935779817
gotta,9,273,29,311,0.031847134,0.872611465,0.095541401,0.904458599
da,30,234,42,306,0.100323625,0.760517799,0.139158576,0.860841424
dont,19,256,24,299,0.066225166,0.850993377,0.082781457,0.917218543
gonna,15,246,32,293,0.054054054,0.834459459,0.111486486,0.888513513
dat,17,253,22,292,0.061016949,0.861016949,0.077966102,0.922033898
charlie,0,26,261,287,0.003448276,0.093103448,0.903448276,0.096551724
n,15,239,33,287,0.055172414,0.827586207,0.117241379,0.882758621
its,8,216,62,286,0.031141869,0.750865052,0.21799308,0.782006921
niggah,20,259,0,279,0.074468085,0.921985816,0.003546099,0.996453901
girls,7,236,35,278,0.028469751,0.84341637,0.128113879,0.871886121
going,11,217,50,278,0.042704626,0.775800712,0.181494662,0.818505338
lil,10,248,15,273,0.039855072,0.902173913,0.057971014,0.942028985
ghetto,14,138,112,264,0.056179775,0.520599251,0.423220974,0.576779026
dumb,15,239,7,261,0.060606061,0.909090909,0.03030303,0.96969697
fuckin,28,230,0,258,0.111111111,0.885057471,0.003831418,0.996168582
retarded,32,205,21,258,0.126436782,0.789272031,0.084291188,0.915708813
